"","cod_distrito","distrito_nombre","cod_canton","canton_nombre","provincia_nombre","n_years"
"102",11801,"Curridabat",118,"Curridabat","San José",11
"103",11802,"Granadilla",118,"Curridabat","San José",11
"104",11803,"Sánchez",118,"Curridabat","San José",11
"105",11804,"Tirrases",118,"Curridabat","San José",11
"106",11901,"San Isidro de El General",119,"Pérez Zeledón","San José",11
"107",11902,"El General",119,"Pérez Zeledón","San José",11
"108",11903,"Daniel Flores",119,"Pérez Zeledón","San José",11
"109",11904,"Rivas",119,"Pérez Zeledón","San José",11
"110",11905,"San Pedro",119,"Pérez Zeledón","San José",11
"111",11906,"Platanares",119,"Pérez Zeledón","San José",11
"112",11907,"Pejibaye",119,"Pérez Zeledón","San José",11
"113",11908,"Cajón",119,"Pérez Zeledón","San José",11
"114",11909,"Barú",119,"Pérez Zeledón","San José",11
"115",11910,"Río Nuevo",119,"Pérez Zeledón","San José",11
"116",11911,"Páramo",119,"Pérez Zeledón","San José",11
"117",11912,"La Amistad",119,"Pérez Zeledón","San José",9
"118",12001,"San Pablo",120,"León Cortés Castro","San José",11
"119",12002,"San Andrés",120,"León Cortés Castro","San José",11
"120",12003,"Llano Bonito",120,"León Cortés Castro","San José",11
"121",12004,"San Isidro",120,"León Cortés Castro","San José",11
"122",12005,"Santa Cruz",120,"León Cortés Castro","San José",11
"123",12006,"San Antonio",120,"León Cortés Castro","San José",11
"124",20101,"Alajuela",201,"Alajuela","Alajuela",11
"125",20102,"San José",201,"Alajuela","Alajuela",11
"126",20103,"Carrizal",201,"Alajuela","Alajuela",11
"127",20104,"San Antonio",201,"Alajuela","Alajuela",11
"128",20105,"Guácima",201,"Alajuela","Alajuela",11
"129",20106,"San Isidro",201,"Alajuela","Alajuela",11
"130",20107,"Sabanilla",201,"Alajuela","Alajuela",11
"131",20108,"San Rafael",201,"Alajuela","Alajuela",11
"132",20109,"Río Segundo",201,"Alajuela","Alajuela",11
"133",20110,"Desamparados",201,"Alajuela","Alajuela",11
"134",20111,"Turrúcares",201,"Alajuela","Alajuela",11
"135",20112,"Tambor",201,"Alajuela","Alajuela",11
"136",20113,"Garita",201,"Alajuela","Alajuela",11
"137",20114,"Sarapiquí",201,"Alajuela","Alajuela",11
"138",20201,"San Ramón",202,"San Ramón","Alajuela",11
"139",20202,"Santiago",202,"San Ramón","Alajuela",11
"140",20203,"San Juan",202,"San Ramón","Alajuela",11
"141",20204,"Piedades Norte",202,"San Ramón","Alajuela",11
"142",20205,"Piedades Sur",202,"San Ramón","Alajuela",11
"143",20206,"San Rafael",202,"San Ramón","Alajuela",11
"144",20207,"San Isidro",202,"San Ramón","Alajuela",11
"145",20208,"Ángeles",202,"San Ramón","Alajuela",11
"146",20209,"Alfaro",202,"San Ramón","Alajuela",11
"147",20210,"Volio",202,"San Ramón","Alajuela",11
"148",20211,"Concepción",202,"San Ramón","Alajuela",11
"149",20212,"Zapotal",202,"San Ramón","Alajuela",11
"150",20213,"Peñas Blancas",202,"San Ramón","Alajuela",11
"151",20214,"San Lorenzo",202,"San Ramón","Alajuela",8
"152",20301,"Grecia",203,"Grecia","Alajuela",11
