"","effect","group","level","term","estimate","std.error","conf.low","conf.high"
"1","ran_vals","distrito_nombre2","10101-Carmen","(Intercept)",1611.06882985686,53.2233115151163,1506.75305614928,1715.38460356444
"2","ran_vals","distrito_nombre2","10102-Merced","(Intercept)",-138.660612630839,53.2233115151163,-242.976386338423,-34.3448389232548
"3","ran_vals","distrito_nombre2","10103-Hospital","(Intercept)",-43.3098219077398,53.2233115151163,-147.625595615324,61.0059517998441
"4","ran_vals","distrito_nombre2","10104-Catedral","(Intercept)",66.4138314613577,53.2233115151163,-37.9019422462261,170.729605168942
"5","ran_vals","distrito_nombre2","10105-Zapote","(Intercept)",-124.383059701113,53.2233115151163,-228.698833408697,-20.0672859935291
"6","ran_vals","distrito_nombre2","10106-San Francisco de Dos Ríos","(Intercept)",-198.075042898639,53.2233115151163,-302.390816606223,-93.7592691910551
"7","ran_vals","distrito_nombre2","10107-Uruca","(Intercept)",-363.659032994627,53.2233115151163,-467.97480670221,-259.343259287043
"8","ran_vals","distrito_nombre2","10108-Mata Redonda","(Intercept)",-85.0029330816998,53.2233115151163,-189.318706789284,19.312840625884
"9","ran_vals","distrito_nombre2","10109-Pavas","(Intercept)",-284.725334905596,53.2233115151163,-389.04110861318,-180.409561198012
"10","ran_vals","distrito_nombre2","10110-Hatillo","(Intercept)",-170.357559710803,53.2233115151163,-274.673333418387,-66.0417860032195
"11","ran_vals","distrito_nombre2","10111-San Sebastián","(Intercept)",-202.659396988386,53.2233115151163,-306.97517069597,-98.3436232808022
"12","ran_vals","distrito_nombre2","10201-Escazú","(Intercept)",192.907979488331,53.2233115151163,88.5922057807468,297.223753195914
"13","ran_vals","distrito_nombre2","10202-San Antonio","(Intercept)",-162.797474900478,53.2233115151163,-267.113248608061,-58.4817011928939
"14","ran_vals","distrito_nombre2","10203-San Rafael","(Intercept)",-51.5769555755103,53.2233115151163,-155.892729283094,52.7388181320735
"15","ran_vals","distrito_nombre2","10301-Desamparados","(Intercept)",250.200374789588,53.2233115151163,145.884601082004,354.516148497172
"16","ran_vals","distrito_nombre2","10302-San Miguel","(Intercept)",28.1710791770625,53.2233115151163,-76.1446945305213,132.486852884646
"17","ran_vals","distrito_nombre2","10303-San Juan de Dios","(Intercept)",-80.6889242656248,53.2233115151163,-185.004697973209,23.626849441959
"18","ran_vals","distrito_nombre2","10304-San Rafael Arriba","(Intercept)",36.8156309835295,53.2233115151163,-67.5001427240544,141.131404691113
"19","ran_vals","distrito_nombre2","10305-San Antonio","(Intercept)",80.2827767689417,53.2233115151163,-24.0329969386421,184.598550476526
"20","ran_vals","distrito_nombre2","10306-Frailes","(Intercept)",-7.87740693259008,53.2233115151163,-112.193180640174,96.4383667749938
"21","ran_vals","distrito_nombre2","10307-Patarrá","(Intercept)",-57.871539480617,53.2233115151163,-162.187313188201,46.4442342269668
"22","ran_vals","distrito_nombre2","10308-San Cristóbal","(Intercept)",-61.9522817651949,53.2233115151163,-166.268055472779,42.3634919423889
"23","ran_vals","distrito_nombre2","10309-Rosario","(Intercept)",-58.2872241648821,53.2233115151163,-162.602997872466,46.0285495427017
"24","ran_vals","distrito_nombre2","10310-Damas","(Intercept)",-83.3882541111107,53.2233115151163,-187.704027818695,20.9275195964731
"25","ran_vals","distrito_nombre2","10311-San Rafael Abajo","(Intercept)",-67.2160212558867,53.2233115151163,-171.531794963471,37.0997524516971
"26","ran_vals","distrito_nombre2","10312-Gravilias","(Intercept)",28.7667423623553,53.2233115151163,-75.5490313452286,133.082516069939
"27","ran_vals","distrito_nombre2","10313-Los Guido","(Intercept)",-153.089406062994,53.2233115151163,-257.405179770578,-48.7736323554099
"28","ran_vals","distrito_nombre2","10401-Santiago","(Intercept)",79.2488107348996,53.2233115151163,-25.0669629726842,183.564584442483
"29","ran_vals","distrito_nombre2","10402-Mercedes Sur","(Intercept)",-49.8504778514637,53.2233115151163,-154.166251559048,54.4652958561201
"30","ran_vals","distrito_nombre2","10403-Barbacoas","(Intercept)",79.8445379767019,53.2233115151163,-24.471235730882,184.160311684286
