,effect,group,term,estimate,std.error,statistic,conf.low,conf.high
76,fixed,cantón,611-Garabito,-373.89905,146.2476748,-2.556615348,-660.5392254,-87.25887461
77,fixed,cantón,612-Monteverde,-471.0725606,198.7114602,-2.370636098,-860.5398658,-81.60525534
78,fixed,cantón,613-Puerto Jiménez,-468.1455234,198.7114602,-2.355906011,-857.6128286,-78.67821819
79,fixed,cantón,701-Limón,-362.7819575,111.0830832,-3.265861435,-580.5007999,-145.0631151
80,fixed,cantón,702-Pococí,-447.7478484,91.98553194,-4.867589923,-628.036178,-267.4595187
81,fixed,cantón,703-Siquirres,-423.4194724,92.82212014,-4.561622507,-605.3474849,-241.49146
82,fixed,cantón,704-Talamanca,-433.4413215,111.0830832,-3.901956166,-651.1601639,-215.7224791
83,fixed,cantón,705-Matina,-428.6566494,123.9183671,-3.459185747,-671.532186,-185.7811128
84,fixed,cantón,706-Guácimo,-461.6613341,102.6141568,-4.499002365,-662.7813857,-260.5412825
85,fixed,pendiente anho,anho,18.94526237,0.64001656,29.60120654,17.69085296,20.19967177
86,ran_pars,distrito_nombre2,sd__(Intercept),173.3467287,NA,NA,NA,NA
87,ran_pars,distrito_nombre2,sd__anho,8.518972846,NA,NA,NA,NA
88,ran_pars,distrito_nombre2,cor__(Intercept).anho,0.259890683,NA,NA,NA,NA
89,ran_pars,Residual,sd__Observation,126.8684474,NA,NA,NA,NA
