cod_canton,cod_distrito,anho,defunciones_hombres,defunciones_mujeres,defunciones_total
213,21308,2013,5,7,12
214,21401,2013,29,13,42
214,21402,2013,4,2,6
214,21403,2013,16,8,24
214,21404,2013,5,2,7
215,21501,2013,18,18,36
215,21502,2013,6,4,10
215,21503,2013,0,0,0
215,21504,2013,3,7,10
301,30101,2013,68,69,137
301,30102,2013,40,30,70
301,30103,2013,51,51,102
301,30104,2013,57,55,112
301,30105,2013,36,25,61
301,30106,2013,24,27,51
301,30107,2013,21,23,44
301,30108,2013,10,12,22
301,30109,2013,11,15,26
301,30110,2013,6,3,9
301,30111,2013,18,8,26
302,30201,2013,58,51,109
302,30202,2013,12,9,21
302,30203,2013,18,12,30
302,30204,2013,11,9,20
302,30205,2013,24,16,40
303,30301,2013,44,45,89
303,30302,2013,45,35,80
303,30303,2013,15,11,26
303,30304,2013,15,29,44
303,30305,2013,37,23,60
303,30306,2013,21,10,31
303,30307,2013,11,9,20
303,30308,2013,26,14,40
304,30401,2013,14,14,28
304,30402,2013,11,8,19
304,30403,2013,7,1,8
305,30501,2013,87,88,175
305,30502,2013,19,16,35
305,30503,2013,0,1,1
305,30504,2013,8,11,19
305,30505,2013,12,4,16
305,30506,2013,16,10,26
305,30507,2013,5,7,12
305,30508,2013,7,6,13
305,30509,2013,11,11,22
305,30510,2013,5,1,6
305,30511,2013,17,9,26
305,30512,2013,8,6,14
306,30601,2013,16,15,31
306,30602,2013,12,4,16
306,30603,2013,5,4,9
307,30701,2013,79,50,129
307,30702,2013,11,21,32
307,30703,2013,5,2,7
307,30704,2013,7,10,17
307,30705,2013,7,3,10
308,30801,2013,56,42,98
308,30802,2013,12,8,20
308,30803,2013,13,10,23
308,30804,2013,0,0,0
401,40101,2013,86,88,174
401,40102,2013,76,54,130
401,40103,2013,90,82,172
401,40104,2013,36,42,78
401,40105,2013,1,2,3
402,40201,2013,19,13,32
402,40202,2013,17,13,30
402,40203,2013,15,7,22
402,40204,2013,11,7,18
402,40205,2013,16,9,25
402,40206,2013,14,11,25
403,40301,2013,34,33,67
403,40302,2013,10,11,21
403,40303,2013,20,13,33
403,40304,2013,6,11,17
403,40305,2013,13,20,33
403,40306,2013,23,12,35
403,40307,2013,4,11,15
403,40308,2013,13,6,19
404,40401,2013,14,16,30
404,40402,2013,10,7,17
404,40403,2013,19,17,36
404,40404,2013,18,14,32
404,40405,2013,10,10,20
404,40406,2013,7,6,13
405,40501,2013,20,26,46
405,40502,2013,29,22,51
405,40503,2013,12,14,26
405,40504,2013,24,9,33
