cod_canton,cod_distrito,pob_total_2011,pob_mujer_2011,pob_hombre_2011,por_0a14anhos_2011,por_15a65anhos_2011,por_mayor65anhos_2011,edad_media_2011,por_poburbana_2011,prom_hijos_2011,por_mujfertil_2011,por_madres_2011,por_madres_solteras_2011,por_madres_adolescentes_2011,poblacion_total_2022,pob_hombre_2022,pob_mujer_2022,cambio_mujer_porcent,cambio_hombre_porcent,cambio_total_porcent,cambio_mujer_absoluto,cambio_hombre_absoluto,cambio_total_absoluto
703,70303,2184,1055,1129,26,67.9,6.1,30.2,37.1,3,54.4,72.3,8.7,1.9,2382,1232,1150,9.00,9.12,9.07,95.00,103,198
703,70304,2471,1175,1296,25.9,67.3,6.9,30.2,54,2.6,57.1,75.8,9.9,10.6,3400,1777,1623,38.13,37.11,37.60,448.00,481,929
703,70305,6082,3024,3058,30.2,64.1,5.7,28.4,54.9,2.7,55.3,72.6,12.5,5.9,6926,3558,3368,11.38,16.35,13.88,344.00,500,844
703,70306,5656,2865,2791,29.8,64.7,5.5,28.1,10.4,2.6,55.8,72.9,11.5,3.2,7102,3603,3499,22.13,29.09,25.57,634.00,812,1446
703,70307,,,,,,,,,,,,,,4250,2262,1988,,,,,,
704,70401,7318,3613,3705,35,60.2,4.7,25.3,12.1,2.9,54.2,74.3,20,11.9,11476,6073,5403,49.54,63.91,56.82,1790.00,2368,4158
704,70402,8861,4305,4556,37.3,59.3,3.4,24.6,38.7,2.9,51.7,72.5,13.8,10.2,13961,7544,6417,49.06,65.58,57.56,2112.00,2988,5100
704,70403,8293,4109,4184,31.4,63.8,4.8,27.7,28.7,2.5,55.3,72.2,17.4,8.7,13463,7198,6265,52.47,72.04,62.34,2156.00,3014,5170
704,70404,6240,3027,3213,37.5,58.6,3.9,24.2,7.8,3.1,50.4,71.9,16.6,13.9,10006,5354,4652,53.68,66.64,60.35,1625.00,2141,3766
705,70501,9142,4407,4735,32.4,63.8,3.8,26.3,47.6,2.8,55.5,76.6,16.7,9.9,11117,6005,5112,16.00,26.82,21.60,705.00,1270,1975
705,70502,16532,8085,8447,31.4,63.7,4.9,27.8,54.2,2.8,54.4,74.4,15.1,6.3,21220,11329,9891,22.34,34.12,28.36,1806.00,2882,4688
705,70503,12047,5637,6410,31.8,64.9,3.4,26.5,48.8,2.6,56,76.8,13.7,9.9,12992,6849,6143,8.98,6.85,7.84,506.00,439,945
706,70601,18326,9294,9032,29.5,64.9,5.6,28.5,54.9,2.5,55,72.8,14.6,5.7,21885,11004,10881,17.08,21.83,19.42,1587.00,1972,3559
706,70602,1707,846,861,21.7,72.3,6,29.4,57.2,2.1,62.4,61.1,11.3,4.5,1826,933,893,5.56,8.36,6.97,47.00,72,119
706,70603,6432,3225,3207,28,65.8,6.2,29.1,80.2,2.6,55.5,72.3,14.3,6.3,7785,3951,3834,18.88,23.20,21.04,609.00,744,1353
706,70604,8742,4345,4397,30.5,64.7,4.9,27.7,32.9,2.8,54.7,74.6,13.3,6.9,10382,5320,5062,16.50,20.99,18.76,717.00,923,1640
706,70605,6059,2938,3121,32.4,63.1,4.5,26.7,16.9,2.8,55.7,76.7,11.7,7.3,7728,3976,3752,27.71,27.40,27.55,814.00,855,1669
