cod_canton,cod_distrito,distrito_nombre,area_km2
211,21101,Zarcero,11.83
211,21102,Laguna,23.28
211,21103,Tapesco,6.39
211,21104,Guadalupe,22.58
211,21105,Palmira,30.67
211,21106,Zapote,44.76
211,21107,Brisas,17.85
212,21201,Sarchí Norte,21.14
212,21202,Sarchí Sur,6.35
212,21203,Toro Amarillo,91.13
212,21204,San Pedro,10.87
212,21205,Rodríguez,7.28
213,21301,Upala,148.65
213,21302,Aguas Claras,408.54
213,21303,San José (Pizote),285.43
213,21304,Bijagua,186.8
213,21305,Delicias,98.52
213,21306,Dos Ríos,218.67
213,21307,Yolillal,139.62
213,21308,Canalete,106.45
214,21401,Los Chiles,503.6
214,21402,Caño Negro,301.27
214,21403,El Amparo,312.89
214,21404,San Jorge,214.95
215,21501,San Rafael,303.99
215,21502,Buenavista,150.86
215,21503,Cote,183.58
215,21504,Katira,114.4
216,21601,Río Cuarto,97.62
216,21602,Santa Rita,53.19
216,21603,Santa Isabel,104.09
301,30101,Oriental,2.04
301,30102,Occidental,2.01
301,30103,Carmen,4.33
301,30104,San Nicolás,29.23
301,30105,Agua Caliente (San Francisco),99.26
301,30106,Guadalupe (Arenilla),13.16
301,30107,Corralillo,32.69
301,30108,Tierra Blanca,12.8
301,30109,Dulce Nombre,33.64
301,30110,Llano Grande,30.35
301,30111,Quebradilla,19.12
302,30201,Paraíso,18.29
302,30202,Santiago,25.64
302,30203,Orosi,376.54
302,30204,Cachí,41.11
302,30205,Llanos de Santa Lucía,6.54
302,30206,Birrisito,8.88
303,30301,Tres Ríos,2.28
303,30302,San Diego,8.08
303,30303,San Juan,3.95
303,30304,San Rafael,9.51
303,30305,Concepción,3.79
303,30306,Dulce Nombre,8.26
303,30307,San Ramón,3.47
303,30308,Río Azul,4.85
304,30401,Juan Viñas,28.25
304,30402,Tucurrique,33.5
304,30403,Pejibaye,173.2
304,30404,La Victoria,15.12
305,30501,Turrialba,56.63
305,30502,La Suiza,160.93
305,30503,Peralta,9.69
305,30504,Santa Cruz,140.9
305,30505,Santa Teresita,48.8
305,30506,Pavones,42.05
305,30507,Tuis,39.2
305,30508,Tayutic,74.77
